t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y,distance
0.24,2.4717285082594906,0.0,0.0,-0.2264400472445753,0.0,0.0,-15.99525381426742,0.0,0.0,0.0,0.0,2.4717285082594906
0.25,2.469422589123218,0.0,0.0,-0.234733685930266,0.0,0.0,-15.957220335667682,0.0,0.0,0.0,0.0,2.469422589123218
0.26,2.467034149701903,0.0,0.0,-0.24294396419362732,0.0,0.0,-15.922032558247576,0.0,0.0,0.0,0.0,2.467034149701903
0.27,2.464564019369263,0.0,0.0,-0.251071734355465,0.0,0.0,-15.889612552512927,0.0,0.0,0.0,0.0,2.464564019369263
0.28,2.462013019020024,0.0,0.0,-0.2591178397330038,0.0,0.0,-15.859884176161337,0.0,0.0,0.0,0.0,2.462013019020024
0.29,2.4593819611594707,0.0,0.0,-0.2670831147407761,0.0,0.0,-15.83277303527789,0.0,0.0,0.0,0.0,2.4593819611594707
0.3,2.4566716499919923,0.0,0.0,-0.2749683849902653,0.0,0.0,-15.808206446364993,0.0,0.0,0.0,0.0,2.4566716499919923
0.31,2.4538828815086386,0.0,0.0,-0.2827744673883214,0.0,0.0,-15.786113399188165,0.0,0.0,0.0,0.0,2.4538828815086386
0.32,2.451016443573698,0.0,0.0,-0.2905021702343664,0.0,0.0,-15.766424520420008,0.0,0.0,0.0,0.0,2.451016443573698
0.33,2.4480731160103066,0.0,0.0,-0.2981522933164067,0.0,0.0,-15.749072038064963,0.0,0.0,0.0,0.0,2.4480731160103066
0.34,2.4450536706851067,0.0,0.0,-0.3057256280058682,0.0,0.0,-15.7339897466479,0.0,0.0,0.0,0.0,2.4450536706851067
0.35000000000000003,2.4419588715919582,0.0,0.0,-0.3132229573512723,0.0,0.0,-15.721112973149921,0.0,0.0,0.0,0.0,2.4419588715919582
0.36,2.438789474934722,0.0,0.0,-0.320645056170767,0.0,0.0,-15.710378543675146,0.0,0.0,0.0,0.0,2.438789474934722
0.37,2.435546229209121,0.0,0.0,-0.327992691143531,0.0,0.0,-15.70172475083261,0.0,0.0,0.0,0.0,2.435546229209121
0.38,2.432229875283694,0.0,0.0,-0.33526662090006504,0.0,0.0,-15.695091321817774,0.0,0.0,0.0,0.0,2.432229875283694
0.39,2.4288411464798494,0.0,0.0,-0.3424675961113864,0.0,0.0,-15.690419387178466,0.0,0.0,0.0,0.0,2.4288411464798494
0.4,2.4253807686510362,0.0,0.0,-0.3495963595771421,0.0,0.0,-15.68765145025042,0.0,0.0,0.0,0.0,2.4253807686510362
0.41000000000000003,2.421849460261035,0.0,0.0,-0.356653646312655,0.0,0.0,-15.686731357247949,0.0,0.0,0.0,0.0,2.421849460261035
0.42,2.4182479324613846,0.0,0.0,-0.36364018363491835,0.0,0.0,-15.687604267995503,0.0,0.0,0.0,0.0,2.4182479324613846
0.43,2.4145768891679547,0.0,0.0,-0.3705566912475521,0.0,0.0,-15.690216627286356,0.0,0.0,0.0,0.0,2.4145768891679547
0.44,2.410837027136672,0.0,0.0,-0.3774038813247365,0.0,0.0,-15.694516136854748,0.0,0.0,0.0,0.0,2.410837027136672
0.45,2.407029036038414,0.0,0.0,-0.38418245859413624,0.0,0.0,-15.700451727948344,0.0,0.0,0.0,0.0,2.407029036038414
0.46,2.403153598533076,0.0,0.0,-0.3908931204188286,0.0,0.0,-15.70797353448797,0.0,0.0,0.0,0.0,2.403153598533076
0.47000000000000003,2.399211390342825,0.0,0.0,-0.3975365568782502,0.0,0.0,-15.717032866801983,0.0,0.0,0.0,0.0,2.399211390342825
0.48,2.3952030803245474,0.0,0.0,-0.4041134508481744,0.0,0.0,-15.727582185922891,0.0,0.0,0.0,0.0,2.3952030803245474
0.49,2.3911293305415033,0.0,0.0,-0.410624478079734,0.0,0.0,-15.739575078434108,0.0,0.0,0.0,0.0,2.3911293305415033
