t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y
0.0,0.3678492151536589,0.0,0.0,0.2696112265913408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009927988052368164,0.37053852448332075,0.0,0.0,0.2682513272459809,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.019622802734375,0.3732142555014966,0.0,0.0,0.2668955687617417,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.02959752082824707,0.3758764783851597,0.0,0.0,0.2655497017726326,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.03968930244445801,0.3785252634558695,0.0,0.0,0.26420801044547876,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.04962778091430664,0.38116068012984095,0.0,0.0,0.2628760237232101,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.0595545768737793,0.38378279795880893,0.0,0.0,0.2615482455295887,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.07013058662414551,0.38639165914987567,0.0,0.0,0.26022470015496224,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.08003878593444824,0.38898733260796214,0.0,0.0,0.25891070000853483,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.08984017372131348,0.3915698873593701,0.0,0.0,0.2576009626455488,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.09994125366210938,0.39413940282514637,0.0,0.0,0.25630284259733066,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.10981082916259766,0.3966959584894788,0.0,0.0,0.25500900598434506,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.11976170539855957,0.39923962775694866,0.0,0.0,0.25372556337081004,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.12985467910766602,0.401770484108659,0.0,0.0,0.25244642627335234,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.13993096351623535,0.40428859237262893,0.0,0.0,0.25117594672776217,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.14963865280151367,0.4067940174801789,0.0,0.0,0.24990979825866197,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.16041803359985352,0.4092868212563619,0.0,0.0,0.24865168152548295,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.16979479789733887,0.4117670851194037,0.0,0.0,0.2474018164653517,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.17984628677368164,0.4142348721235272,0.0,0.0,0.2461563127501965,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.1898791790008545,0.41669023838611013,0.0,0.0,0.24491766962931566,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.200178861618042,0.4191332401420413,0.0,0.0,0.24368341427447027,0.0,0.0,0.0,0.0,0.0,0.3,0.0
