t,x,y,psi,u,v,r,tau_u,tau_v,tau_r,current_x,current_y
0.0,1.03122686730374,0.0,0.0,0.20525830450313376,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010114192962646484,1.0332742534074728,0.0,0.0,0.2042196792979082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020119190216064453,1.0353112761554146,0.0,0.0,0.2031856338003235,0.0,0.0,0.0,0.0,0.0,0.3,0.0
0.030118227005004883,1.0373379532958014,0.0,0.0,0.20215056236169687,0.0,0.0,-2.324101754561541,0.0,0.0,0.3,0.0
0.04000258445739746,1.0393543027681438,0.0,0.0,0.20112010056449287,0.0,0.0,-2.324101754561541,0.0,0.0,0.3,0.0
0.04993247985839844,1.0413603431499936,0.0,0.0,0.20008874871701854,0.0,0.0,-2.3334758286729356,0.0,0.0,0.3,0.0
0.059851646423339844,1.0433560932036872,0.0,0.0,0.19906203522341964,0.0,0.0,-2.3334758286729356,0.0,0.0,0.3,0.0
0.06991267204284668,1.0453415723113684,0.0,0.0,0.19803456384719959,0.0,0.0,-2.342672988698987,0.0,0.0,0.3,0.0
0.08020639419555664,1.0473168000334547,0.0,0.0,0.19701175831125026,0.0,0.0,-2.342672988698987,0.0,0.0,0.3,0.0
0.0899345874786377,1.049281796532086,0.0,0.0,0.19598832336737848,0.0,0.0,-2.3516974251459803,0.0,0.0,0.3,0.0
0.10012316703796387,1.0512365821411482,0.0,0.0,0.19496958052061647,0.0,0.0,-2.3516974251459803,0.0,0.0,0.3,0.0
0.1098337173461914,1.0531811777783229,0.0,0.0,0.1939503330795753,0.0,0.0,-2.3605532693807807,0.0,0.0,0.3,0.0
0.11991405487060547,1.0551156045265015,0.0,0.0,0.19293580276063554,0.0,0.0,-2.3605532693807807,0.0,0.0,0.3,0.0
0.13037991523742676,1.057039884034609,0.0,0.0,0.191920889033559,0.0,0.0,-2.369244592842671,0.0,0.0,0.3,0.0
0.13977360725402832,1.058954038110241,0.0,0.0,0.1909107162206207,0.0,0.0,-2.369244592842671,0.0,0.0,0.3,0.0
0.14969563484191895,1.0608580891094368,0.0,0.0,0.18990027759333342,0.0,0.0,-2.3777754063284773,0.0,0.0,0.3,0.0
0.1598060131072998,1.062752059540372,0.0,0.0,0.18889460243931772,0.0,0.0,-2.3777754063284773,0.0,0.0,0.3,0.0
0.16976547241210938,1.0646359724422563,0.0,0.0,0.1878887755090598,0.0,0.0,-2.3861496593439915,0.0,0.0,0.3,0.0
0.18029117584228516,1.0665098509999085,0.0,0.0,0.18688773337948675,0.0,0.0,-2.3861496593439915,0.0,0.0,0.3,0.0
0.18973088264465332,1.0683737189119602,0.0,0.0,0.1858866499942289,0.0,0.0,-2.394371239526357,0.0,0.0,0.3,0.0
0.19971895217895508,1.0702276000161408,0.0,0.0,0.18489037150763704,0.0,0.0,-2.394371239526357,0.0,0.0,0.3,0.0
0.21001863479614258,1.0720715186469645,0.0,0.0,0.18389415880789212,0.0,0.0,-2.402443972131097,0.0,0.0,0.3,0.0
