run_id,controller,current_amplitude,profile,duration,t_onset,pct_in_window,rmse,min_distance,settling_time,control_effort,current_direction
PID_step_amp0.00,PID,0.0,step,120.0,10.0,98.4290357529794,0.13942425787097057,0.7780142637215104,3.6899999999999995,380.9920834935042,0.0
PID_step_amp0.10,PID,0.1,step,120.0,10.0,98.4290357529794,0.13899624826113047,0.7780142637215104,1.6099999999999994,418.17895170182715,0.0
PID_step_amp0.20,PID,0.2,step,120.0,10.0,98.4290357529794,0.13881836206650175,0.7780142637215104,0.9500000000000011,638.375958519812,0.0
PID_step_amp0.30,PID,0.3,step,120.0,10.0,98.4290357529794,0.13962568930318772,0.7780142637215104,6.780000000000001,1270.215958517616,0.0
PID_step_amp0.40,PID,0.4,step,120.0,10.0,98.4290357529794,0.14239380058806253,0.7780142637215104,10.66,2631.0522178532874,0.0
PID_step_amp0.50,PID,0.5,step,120.0,10.0,98.4290357529794,0.1482271432974446,0.7780142637215104,13.21,5127.527991765574,0.0
PID_step_amp0.60,PID,0.6,step,120.0,10.0,98.4290357529794,0.15816949199332286,0.7780142637215104,15.010000000000002,9256.168337259798,0.0
PID_step_amp0.70,PID,0.7,step,120.0,10.0,95.72047670639219,0.1730012590133942,0.7780142637215104,16.330000000000002,15603.986937508955,0.0
PID_step_amp0.80,PID,0.8,step,120.0,10.0,93.07025585465455,0.2258790203609838,0.7780142637215104,,24712.677678649532,0.0
PID_step_amp0.90,PID,0.9,step,120.0,10.0,90.75339611634304,0.36594469641963684,0.7780142637215104,,37284.05276502785,0.0
PID_step_amp1.00,PID,1.0,step,120.0,10.0,8.067338944912075,0.5487969892724774,0.7780142637215104,,54136.438835401204,0.0
PID_step_amp1.10,PID,1.1,step,120.0,10.0,7.908992416034671,0.7584452773650664,0.7780142637215104,,76134.54975624883,0.0
PID_step_amp1.20,PID,1.2,step,120.0,10.0,7.792316026335528,2.2194612213446456,0.7780142637215104,,97349.07246789834,0.0
PID_step_amp1.30,PID,1.3,step,120.0,10.0,7.692307692307692,8.02521577475361,0.7780142637215104,,97768.03394647231,0.0
SMC_step_amp0.00,SMC,0.0,step,120.0,10.0,98.34569547462289,0.13462164218888137,1.1000000000000105,0.0,368.16822497219255,0.0
SMC_step_amp0.10,SMC,0.1,step,120.0,10.0,98.34569547462289,0.13464431479548206,1.1001329748256572,0.0,405.773895071757,0.0
SMC_step_amp0.20,SMC,0.2,step,120.0,10.0,98.34569547462289,0.13477732949025542,1.1001329748256572,0.0,626.5858937526406,0.0
SMC_step_amp0.30,SMC,0.3,step,120.0,10.0,98.34569547462289,0.13515687020443437,1.1001329748256572,0.0,1257.8367042833147,0.0
SMC_step_amp0.40,SMC,0.4,step,120.0,10.0,98.34569547462289,0.13596851983055816,1.1001329748256572,0.0,2613.655162211294,0.0
SMC_step_amp0.50,SMC,0.5,step,120.0,10.0,98.34569547462289,0.13744160828547247,1.1001329748256572,0.0,5094.949553543717,0.0
SMC_step_amp0.60,SMC,0.6,step,120.0,10.0,98.34569547462289,0.13983856475531162,1.1001329748256572,0.0,9189.293593178027,0.0
SMC_step_amp0.70,SMC,0.7,step,120.0,10.0,98.34569547462289,0.14343836328884274,1.1001329748256572,0.0,15470.81498983993,0.0
SMC_step_amp0.80,SMC,0.8,step,120.0,10.0,98.34569547462289,0.14851501106736328,1.1001329748256572,,24600.086344565818,0.0
SMC_step_amp0.90,SMC,0.9,step,120.0,10.0,47.04558713226102,0.49809457055932915,1.1001329748256572,,36308.58091143234,0.0
SMC_step_amp1.00,SMC,1.0,step,120.0,10.0,10.759229935827985,5.081248253407737,1.1001329748256572,,39871.57355916657,0.0
SMC_step_amp1.10,SMC,1.1,step,120.0,10.0,8.917409784148678,10.018910840627298,1.1001329748256572,,42797.042981619736,0.0
SMC_step_amp1.20,SMC,1.2,step,120.0,10.0,8.259021585132095,15.320713321100827,1.1001329748256572,,44853.65036898288,0.0
SMC_step_amp1.30,SMC,1.3,step,120.0,10.0,7.917326443870322,21.06066707241966,1.1001329748256572,,45721.64998478978,0.0
